OrderID,OrderDate,Region,Department,Product,SalesAmount,Cost,Profit,Quantity
1,3/1/2024,East,Furniture,Bookshelf,124.53,89.5,35.03,3
2,11/16/2024,East,Furniture,Office Chair,115.56,80.83,34.73,2
3,5/6/2023,North,Furniture,Desk,236.16,172.19,63.97,1
4,11/22/2023,South,Clothing,T-Shirt,112.04,72.53,39.51,4
5,1/12/2024,West,Electronics,Headphones,428.02,282.44,145.58,1
6,7/12/2023,East,Furniture,Desk,233.63,175.42,58.21,3
7,10/15/2023,South,Electronics,Tablet,295.65,195.1,100.55,2
8,6/16/2023,West,Clothing,Jacket,725.11,480.61,244.5,3
9,9/3/2023,South,Furniture,Office Chair,524.01,422.88,101.13,1
10,3/2/2024,South,Furniture,Office Chair,226.56,173.66,52.9,2
11,7/21/2023,South,Furniture,Cabinet,148.76,99.78,48.98,5
12,7/30/2024,North,Furniture,Cabinet,564.77,388.41,176.36,1
13,3/21/2024,South,Electronics,Headphones,290.09,215.87,74.22,3
14,9/15/2024,West,Clothing,Jeans,91.73,68.27,23.46,3
15,8/18/2024,North,Electronics,Tablet,53.5,33.75,19.75,5
16,8/13/2023,North,Electronics,Smartphone,263.65,172.67,90.98,2
17,12/27/2023,East,Electronics,Tablet,32.44,20.75,11.69,1
18,2/5/2024,West,Clothing,T-Shirt,591.1,383.55,207.55,5
19,10/9/2024,West,Clothing,Jacket,52.54,33.01,19.53,3
20,9/3/2023,South,Electronics,Smartphone,125.37,90.48,34.89,2
21,5/24/2024,North,Electronics,Smartphone,466.68,359.3,107.38,2
22,2/3/2023,West,Clothing,Jacket,411.91,338.65,73.26,1
23,3/7/2023,East,Clothing,Jeans,545.73,373.26,172.47,1
24,9/24/2024,West,Furniture,Cabinet,158.68,117.41,41.27,3
25,4/28/2024,North,Electronics,Headphones,215.55,142.23,73.32,5
26,7/12/2023,South,Electronics,Tablet,381.96,243.03,138.93,2
27,8/20/2023,East,Electronics,Laptop,129.84,105.52,24.32,1
28,8/14/2023,North,Furniture,Bookshelf,217.81,143.14,74.67,5
29,1/3/2024,South,Furniture,Desk,124.04,80.1,43.94,5
30,7/19/2023,South,Furniture,Cabinet,495.53,389.37,106.16,5
31,2/20/2024,North,Clothing,Shoes,79.54,53.9,25.64,1
32,8/20/2024,North,Clothing,Jeans,550.6,382.5,168.1,1
33,8/10/2024,North,Electronics,Smartphone,650.57,410.77,239.8,3
34,3/20/2024,North,Furniture,Desk,364.2,264.46,99.74,3
35,7/11/2023,West,Electronics,Headphones,237.9,153.61,84.29,1
36,3/13/2023,North,Electronics,Headphones,184.97,138.49,46.48,5
37,9/24/2023,North,Electronics,Laptop,111.01,71.59,39.42,4
38,4/5/2023,West,Clothing,Jacket,399.37,278.47,120.9,1
39,5/29/2023,East,Electronics,Laptop,331.37,234.8,96.57,3
40,10/3/2024,West,Clothing,T-Shirt,432.4,275.27,157.13,2
41,1/28/2023,North,Clothing,Shoes,334.02,277.57,56.45,5
42,10/8/2023,East,Electronics,Tablet,365.3,238.46,126.84,3
43,10/28/2023,East,Electronics,Headphones,606.67,430.19,176.48,4
44,8/24/2024,North,Clothing,Jacket,712.47,470.03,242.44,3
45,10/22/2024,West,Furniture,Cabinet,182.65,143.63,39.02,1
46,7/21/2024,North,Furniture,Office Chair,376.77,312.02,64.75,1
47,3/30/2024,East,Clothing,Jeans,608.39,399.04,209.35,3
48,1/23/2024,West,Furniture,Cabinet,265.92,205.36,60.56,4
49,3/4/2024,West,Electronics,Smartphone,452.29,353.55,98.74,1
50,1/31/2023,East,Furniture,Office Chair,534.29,436.75,97.54,2
51,2/25/2023,South,Furniture,Bookshelf,390.06,261.85,128.21,3
52,6/24/2024,West,Clothing,Jacket,493.57,328.35,165.22,2
53,10/30/2024,West,Electronics,Smartphone,300.49,194.59,105.9,1
54,12/1/2023,North,Furniture,Desk,345.57,285.66,59.91,3
55,9/19/2023,North,Furniture,Office Chair,416.05,313.18,102.87,5
56,3/20/2024,North,Electronics,Headphones,424.14,317.25,106.89,1
57,6/1/2024,South,Clothing,T-Shirt,123.21,98.12,25.09,5
58,10/16/2023,South,Furniture,Office Chair,114.25,81.21,33.04,3
59,11/26/2023,West,Furniture,Desk,218.11,148.23,69.88,1
60,5/11/2023,South,Clothing,Jacket,560.36,392.76,167.6,4
61,7/8/2024,North,Furniture,Office Chair,365.33,238.61,126.72,3
62,1/2/2024,North,Furniture,Cabinet,210.06,173.73,36.33,5
63,5/20/2024,West,Electronics,Laptop,413.56,314.98,98.58,2
64,5/16/2023,West,Clothing,Shoes,584.55,371.08,213.47,2
65,11/19/2023,East,Clothing,T-Shirt,393,326.15,66.85,3
66,3/5/2023,East,Clothing,Shoes,234.48,179.79,54.69,5
